,date,daily_return,account_value
0,2024-01-02,0.0,1000000.0
1,2024-01-03,-0.011111080826392228,988888.9191736077
2,2024-01-04,0.0,988888.9191736077
3,2024-01-05,0.0,988888.9191736077
4,2024-01-08,-0.007490688590939931,981481.4602290471
5,2024-01-09,-0.018867873509974764,962962.9921850602
6,2024-01-10,-0.0057692148694001855,957407.451771864
7,2024-01-11,-0.0019343055330697245,955555.5332404994
8,2024-01-12,0.0,955555.5332404994
9,2024-01-15,0.0,955555.5332404994
10,2024-01-16,-0.023255751109958145,933333.371587715
11,2024-01-17,-0.01587312565918364,918518.4536985937
12,2024-01-18,0.0,918518.4536985937
13,2024-01-19,-0.006048371037974953,912962.9132853976
14,2024-01-22,0.004056862860326804,916666.6786211609
15,2024-01-23,0.002020118239945523,918518.4536985938
16,2024-01-24,0.014112943845122183,931481.4530563505
17,2024-01-25,-0.0019880662125074666,929629.6062519518
18,2024-01-26,0.005976156635717489,935185.2183921138
19,2024-01-29,0.007920770208847294,942592.6056097085
20,2024-01-30,-0.015717125377376018,927777.7594475531
21,2024-01-31,0.003992005166197021,931481.4530563504
22,2024-02-01,0.003976209428121713,935185.2183921136
23,2024-02-02,-0.003960461802562709,931481.4530563504
24,2024-02-05,-0.01192839727504491,920370.3722299581
25,2024-02-15,-0.01006033473193979,911111.1382079647
26,2024-02-16,0.012195088349206351,922222.2190343568
27,2024-02-19,0.020080344399361127,940740.7588053097
28,2024-02-20,-0.003937073312808126,937036.9934695464
29,2024-02-21,-0.0019762027436892593,935185.2183921136
30,2024-02-22,-0.003960461802562709,931481.4530563504
31,2024-02-23,-0.0059641986375224,925925.9126431543
32,2024-02-26,-0.003999989154882644,922222.2190343569
33,2024-02-27,-0.010040211087794626,912962.9132853976
34,2024-02-29,-0.002028313582606467,911111.1382079648
35,2024-03-01,-0.006097544174603398,905555.5977947686
36,2024-03-04,-0.010224999736634488,896296.2920458092
37,2024-03-05,-0.006198410268418275,890740.6799056473
38,2024-03-06,0.0,890740.6799056473
39,2024-03-07,-0.004157912583743095,887037.0580238157
40,2024-03-08,0.006263030797803326,892592.5984370117
41,2024-03-11,-0.0020747634862839925,890740.6799056473
42,2024-03-12,0.00415807363390619,894444.4452414106
43,2024-03-13,-0.008281550919124525,887037.0580238159
44,2024-03-14,0.004175273003906632,890740.6799056474
45,2024-03-15,-0.008315905692567682,883333.3644150185
46,2024-03-18,-0.0062892908125068425,877777.8240018224
47,2024-03-19,-0.0021097804942503684,875925.9054704579
48,2024-03-20,-0.006342477575443151,870370.3650572618
49,2024-03-21,0.01489365892748884,883333.3644150186
50,2024-03-22,0.004192860541671228,887037.058023816
51,2024-03-25,-0.0041753538652022915,883333.3644150186
52,2024-03-26,0.0062892908125067315,888888.9048282147
53,2024-03-27,-0.0041667359280168625,885185.1394924513
54,2024-03-28,-0.004184089230102828,881481.4458836539
55,2024-03-29,0.006302585455548293,887037.058023816
56,2024-04-01,0.0020876769326010347,888888.9048282146
57,2024-04-02,0.012499965705545124,899999.9856546068
58,2024-04-03,0.014403253152679207,912962.9132853978
59,2024-04-08,0.01419882359854907,925925.9126431546
60,2024-04-09,0.04199996359139169,964814.7672624933
61,2024-04-10,-0.017274425936573468,948148.1460229049
62,2024-04-11,-0.011718793734887156,937036.9934695468
63,2024-04-12,-0.017786513612314425,920370.3722299585
64,2024-04-15,-0.012072479611047182,909259.2196766004
65,2024-04-16,-0.012219926491747968,898148.1388502083
66,2024-04-17,0.00824748014736576,905555.5977947689
67,2024-04-18,0.01431480953283537,918518.4536985939
68,2024-04-19,-0.014112787665427451,905555.5977947689
69,2024-04-22,0.010224920528945747,914814.8318167623
70,2024-04-23,0.006072857828685496,920370.3722299584
71,2024-04-24,-0.004024133892776005,916666.678621161
72,2024-04-25,-0.00808086419777232,909259.2196766004
73,2024-04-26,0.0,909259.2196766004
74,2024-04-29,0.018329968622679438,925925.9126431545
75,2024-04-30,-0.00599998373232391,920370.3722299584
76,2024-05-02,0.004024133892776005,924074.0658387558
77,2024-05-03,0.0,924074.0658387558
78,2024-05-06,0.006012007715153533,929629.6062519517
79,2024-05-07,-0.00796810597229114,922222.2190343568
80,2024-05-08,-0.006024079986939768,916666.6786211607
81,2024-05-09,-0.00606058946263055,911111.1382079647
82,2024-05-10,0.008129980174754525,918518.4536985935
83,2024-05-13,0.0020162017691722767,920370.3722299581
84,2024-05-14,0.006036200839163897,925925.9126431542
85,2024-05-15,-0.009999972887206554,916666.6786211607
86,2024-05-16,0.016161571900348504,931481.4530563502
87,2024-05-17,-0.003976132425014933,927777.7594475528
88,2024-05-20,0.00798408764289782,935185.2183921135
89,2024-05-21,-0.013861424563622049,922222.2190343568
90,2024-05-22,-0.012048159973879535,911111.1382079647
91,2024-05-23,-0.01829271124852616,894444.4452414104
92,2024-05-24,-0.006211163189343338,888888.9048282143
93,2024-05-27,-0.0041667359280168625,885185.139492451
94,2024-05-28,0.012552348720776152,896296.2920458091
95,2024-05-29,-0.01033055040410702,887037.0580238156
96,2024-05-30,-0.0041753538652022915,883333.3644150182
97,2024-05-31,-0.004192941742007017,879629.599079255
98,2024-06-03,0.0021052574928550616,881481.4458836537
99,2024-06-04,-0.008403338779489622,874074.058666059
100,2024-06-05,-0.0021186383305150658,872222.2118616602
101,2024-06-06,-0.002123136488861199,870370.3650572615
102,2024-06-07,0.008510697562724712,877777.8240018222
103,2024-06-11,-0.014767973174188764,864814.8246440655
104,2024-06-12,-0.0021414047014362003,862962.9061127009
105,2024-06-13,0.0,862962.9061127009
